zip, city
8355,Aadorf
5000,Aarau
3270,Aarberg
4663,Aarburg
4912,Aarwangen
8607,Aathal-Seegräben
8522,Aawangen
1657,Abländschen
9030,Abtwil SG
5646,Abtwil AG
3725,Achseten
7185,Platta
7104,Versam
1123,Aclens
6718,Olivone
6716,Acquarossa
3715,Adelboden
4806,Wikon
8345,Adetswil
6043,Adligenswil
8452,Adlikon
8106,Adlikon b.Regensdf
8134,Adliswil
3673,Linden
4714,Aedermannsdorf
3426,Aefligen
2558,Aegerten
3147,Mittelhäusern
6287,Aesch LU
4147,Aesch BL
8904,Aesch ZH
8127,Forch
8412,Aesch (Neftenbach)
3536,Aeschau
4556,Aeschi SO
3703,Aeschi b. Spiez
3703,Aeschiried
3672,Aeschlen
3656,Aeschlen ob Gunten
4583,Aetigkofen
4587,Aetingen
5645,Aettenschwil
8914,Aeugst am Albis
8914,Aeugstertal
9466,Sennwald
7250,Klosters
7133,Obersaxen Affeier
9556,Affeltrangen
8910,Affoltern am Albis
8000,Zürich
3416,Affoltern BE
3951,Agarn
6597,Agarone
8308,Agasul
4923,Wynau
1352,Agiez
6982,Agno
6933,Muzzano
6927,Agra
3216,Agriswil
1860,Aigle
1219,Aïre
1288,Aire-la-Ville
6780,Airolo
3930,Visp
6248,Alberswil
1669,Albeuve
3955,Albinen
8135,Langnau am Albis
8915,Hausen am Albis
8000,Zürich
3183,Albligen
6962,Viganello
6958,Corticiasca
3422,Alchenflüh
3473,Alchenstorf
6974,Aldesago
2512,Tüscherz-Alfermée
9249,Algetshausen
5643,Alikon
6781,Bedretto
1165,Allaman
2942,Alle
3205,Gümmenen
1304,Allens
3054,Schüpfen
6319,Allenwinden
4615,Allerheiligenberg
1905,Dorénaz
1669,Montbovon
5706,Boniswil
3600,Thun
3112,Allmendingen b. BE
9428,Walzenhausen
4123,Allschwil
6372,Ennetmoos
7416,Almens
6315,Alosen
7710,Alp Grüm
6055,Alpnach Dorf
6053,Alpnachstad
8849,Alpthal
9656,Alt St. Johann
6776,Piotta
3280,Murten
8164,Bachs
6147,Altbüron
6460,Altdorf UR
6460,Altdorf UR
8243,Altdorf SH
8453,Alten
5210,Windisch
8852,Altendorf
9470,Buchs SG
8560,Märstetten
9423,Altenrhein
1715,Alterswil FR
9230,Flawil
8573,Alterswilen
5628,Aristau
8479,Altikon
8573,Altishausen
6246,Altishofen
8595,Altnau
2545,Selzach
5225,Bözberg
9450,Altstätten SG
8000,Zürich
6286,Altwis
7473,Alvaneu Bad
7492,Alvaneu Dorf
7451,Alvaschein
7447,Am Bach (Avers)
6775,Ambrì
8873,Amden
8133,Esslingen
3963,Aminona
8514,Amlikon-Bissegg
4573,Lohn-Ammannsegg
8506,Lanzenneunforn
5600,Ammerswil AG
3257,Ammerzwil BE
8580,Amriswil
3633,Amsoldingen
6474,Amsteg
7440,Andeer
8450,Andelfingen
6490,Andermatt
8572,Andhausen
7159,Andiast
9204,Andwil SG
9204,Andwil SG
8586,Andwil TG
9545,Wängi
4147,Aesch BL
5611,Anglikon
1247,Anières
7745,Li Curt
1867,Ollon VD
4469,Anwil
1882,Gryon
1972,Anzère
6748,Anzonico
9050,Appenzell
9050,Appenzell
9050,Appenzell
1143,Apples
1994,Aproz (Nendaz)
1994,Aproz (Nendaz)
6719,Aquila
1091,Aran
6994,Aranno
1212,Grand-Lancy
7062,Passugg-Araschgen
6340,Baar
1974,Arbaz
6517,Arbedo
4424,Arboldswil
9320,Arbon
6618,Arcegno
3296,Arch
1732,Arconciel
7546,Ardez
1957,Ardon
8268,Mannenbach-Salenst
2015,Areuse
7104,Arezen
1966,Argnou (Ayent)
4422,Arisdorf
5628,Aristau
4144,Arlesheim
8810,Horgen
9212,Arnegg
1277,Arnex-sur-Nyon
1321,Arnex-sur-Orbe
3508,Arni BE
8905,Arni AG
3508,Arni BE
6822,Arogno
1986,Arolla
7050,Arosa
6939,Arosio
1463,Rovray
1680,Romont FR
6415,Arth
6500,Bellinzona
1884,Arveyes
6543,Arvigo
1991,Arvillard (Salins)
1273,Arzier
6864,Arzo
7245,Ascharina
6612,Ascona
5025,Asp
1042,Assens
8572,Berg TG
6999,Astano
2954,Asuel
1285,Athenaz (Avusy)
1616,Attalens
5056,Attelwil
8544,Attikon
6468,Attinghausen
4533,Riedholz
4536,Attiswil
8804,Au ZH
9434,Au SG
5105,Auenstein
5105,Auenstein
8376,Au TG
1170,Aubonne
1673,Auboranges
1914,Auddes-sur-Riddes
5105,Auenstein
6547,Augio
4302,Augst BL
8426,Lufingen
1867,Ollon VD
1484,Aumont
6661,Auressio
6677,Aurigeno
8331,Auslikon
1891,Vérossaz
3938,Ausserberg
3995,Ausserbinn
8474,Dinhard
3619,Eriz
7444,Ausserferrera
8000,Zürich
4944,Auswil
1782,Autafond
1475,Autavaux
1742,Autigny
2012,Auvernier
5644,Auw
6670,Avegno
1976,Aven
1580,Avenches
1274,Signy
7447,Cresta (Avers)
1644,Avry-devant-Pont
1754,Avry-sur-Matran
1237,Avully
1285,Athenaz (Avusy)
3855,Axalp
3961,Ayer
9478,Azmoos
6340,Baar
1996,Baar (Nendaz)
8806,Bäch SZ
8806,Bäch SZ
8184,Bachenbülach
9452,Hinterforst
4000,Basel
9633,Bächli (Hemberg)
8164,Bachs
8342,Wernetshausen
6213,Knutwil
6213,Knutwil
7310,Bad Ragaz
5330,Bad Zurzach
5400,Baden
3267,Seedorf BE
1934,Le Châble VS
6283,Baldegg
5333,Baldingen
7317,Valens
6828,Balerna
9436,Balgach
1338,Ballaigues
1144,Ballens
3303,Ballmoos
6275,Ballwil
4525,Balm b. Günsberg
3860,Meiringen
3254,Balm b. Messen
4524,Balmberg
4710,Balsthal
8962,Bergdietikon
8303,Bassersdorf
8362,Balterswil
3937,Baltschieder
4856,Glashütten
6981,Banco
3256,Bangerten
3076,Worb
3076,Worb
8426,Lufingen
8514,Amlikon-Bissegg
8471,Bänk (Dägerlen)
4913,Bannwil
3065,Bolligen
3552,Bärau
6917,Barbengo
6917,Barbengo
1783,Barberêche
1257,La Croix-de-Rozon
8344,Bäretswil
3204,Rosshäusern
3204,Rosshäusern
3282,Bargen BE
8233,Bargen SH
3323,Bäriswil BE
5017,Barmelweid
4252,Bärschwil
4252,Bärschwil
8241,Barzheim
8254,Basadingen
4000,Basel
2854,Bassecourt
1996,Basse-Nendaz
8303,Bassersdorf
1269,Bassins
1786,Sugiez
8573,Siegershausen
3315,Bätterkinden
4112,Bättwil
6466,Bauen
1815,Clarens
1446,Baulmes
8494,Bauma
1372,Bavois
9602,Bazenheid
3803,Beatenberg
3658,Merligen
8414,Buch am Irchel
6375,Beckenried
6930,Bedano
6981,Bedigliora
6781,Bedretto
8228,Beggingen
1268,Begnins
4229,Beinwil SO
5637,Beinwil (Freiamt)
5712,Beinwil am See
3113,Rubigen
3914,Belalp
1782,Belfaux
2354,Goumois
4512,Bellach
1786,Sugiez
2713,Bellelay
1585,Bellerive VD
1222,Vésenaz
2805,Soyhières
2805,Soyhières
1293,Bellevue
5454,Bellikon
6500,Bellinzona
2564,Bellmund
3997,Bellwald
1092,Belmont-Lausanne
1432,Belmont-Yverdon
3123,Belp
3124,Belpberg
2744,Belprahon
2406,Le Brouillet
9042,Speicher
8802,Kilchberg ZH
1197,Prangins
8121,Benglen
8463,Benken ZH
4105,Biel-Benken BL
8717,Benken SG
8836,Bennau
4431,Bennwil
5636,Benzenschwil
1038,Bercher
8625,Gossau ZH
8471,Berg (Dägerlen)
9305,Berg SG
8572,Berg TG
8415,Berg am Irchel
8962,Bergdietikon
7482,Bergün/Bravuogn
6981,Biogno-Beride
8965,Berikon
8222,Beringen
3900,Brig
3376,Berken
1680,Berlens
2854,Bassecourt
8267,Berlingen
3000,Bern
5325,Leibstadt
9442,Berneck
9442,Berneck
1233,Bernex
9304,Bernhardzell
7504,Pontresina
8280,Kreuzlingen
1149,Berolle
6215,Beromünster
8892,Berschis
8614,Bertschikon Gossau
8543,Bertschikon
6661,Berzona
6863,Besazio
5627,Besenbüren
1609,Besencens
8546,Islikon
3000,Bern
8872,Weesen
8777,Betschwanden
3991,Betten
3366,Bettenhausen
1042,Bettens
4126,Bettingen
2544,Bettlach
3992,Bettmeralp
9553,Bettwiesen
5618,Bettwil
2935,Beurnevésin
1996,Beuson (Nendaz)
2022,Bevaix
7502,Bever
2735,Bévilard
8543,Bertschikon
1880,Bex
8735,St. Gallenkappel
5312,Döttingen
6710,Biasca
6710,Biasca
2336,Les Bois
8836,Bennau
8836,Bennau
3206,Biberen
4562,Biberist
8262,Ramsen
4578,Bibern SO
8242,Bibern SH
5023,Biberstein
8363,Bichelsee
9248,Bichwil
3472,Wynigen
8912,Obfelden
6958,Bidogno
4105,Biel-Benken BL
3989,Biel VS
2500,Biel/Bienne
3419,Biembach
4410,Liestal
1145,Bière
8580,Biessenhofen
8307,Effretikon
1996,Bieudron (Nendaz)
4585,Biezwil
3513,Bigenthal
3507,Biglen
6676,Bignasco
6927,Agra
6954,Bigorio
1681,Billens
8314,Kyburg
8865,Bilten
3996,Binn
4102,Binningen
8122,Binz
8627,Grüningen
6934,Bioggio
6981,Biogno-Beride
6932,Breganzona
1407,Bioley-Magnoux
1042,Bioley-Orjulaz
1670,Bionnens
8309,Nürensdorf
3903,Birgisch
8903,Birmensdorf ZH
5413,Birmenstorf AG
6804,Bironico
5242,Birr
5244,Birrhard
5628,Aristau
5708,Birrwil
4127,Birsfelden
4127,Birsfelden
8585,Birwinken
9220,Bischofszell
8307,Effretikon
6436,Bisisthal
8514,Amlikon-Bissegg
6816,Bissone
3983,Bister
3982,Bitsch
3255,Rapperswil BE
7457,Bivio
3771,Blankenburg
3537,Eggiwil
3919,Blatten(Lötschen)
6102,Malters
3914,Blatten b. Naters
4223,Blauen
3717,Blausee-Mitholz
4562,Biberist
3368,Bleienbach
8583,Sulgen
3674,Bleiken
1675,Blessens
6340,Baar
9220,Bischofszell
8494,Bauma
1966,Blignou (Ayent)
8493,Saland
3989,Blitzingen
1807,Blonay
3975,Randogne
3638,Blumenstein
5334,Böbikon
4461,Böckten
3715,Adelboden
6743,Bodio TI
2856,Boécourt
1353,Bofflens
1279,Bogis-Bossey
6216,Mauensee
6951,Bogno
6221,Rickenbach LU
6221,Rickenbach LU
1260,Nyon
2014,Bôle
4556,Bolken
3067,Boll
5610,Wohlen AG
3065,Bolligen
8715,Bollingen
1470,Bollion
3366,Bollodingen
3766,Boltigen
8561,Ottoberg
6981,Bombinasco
7402,Bonaduz
8554,Bonau
2926,Boncourt
7606,Promontogno
2944,Bonfol
3806,Bönigen
4618,Boningen
5706,Boniswil
1724,Bonnefontaine
8906,Bonstetten
1427,Bonvillars
8113,Boppelsen
1277,Borex
6658,Borgnone
7604,Borgonovo
8264,Eschenz
7545,Guarda
6852,Genestrerio
6935,Bosco Luganese
6685,Bosco/Gurin
3178,Bösingen
1615,Bossonnens
1239,Collex
5623,Boswil
9230,Flawil
1041,Bottens
4814,Bottenwil
1652,Botterens
8598,Bottighofen
4103,Bottmingen
5315,Böttstein
1966,Botyre (Ayent)
2043,Boudevilliers
2017,Boudry
1172,Bougy-Villars
1063,Boulens
1699,Bouloz
1242,Satigny
1946,Bourg-St-Pierre
1722,Bourguillon
1035,Bournens
2803,Bourrignon
1034,Boussens
1897,Bouveret
2113,Boveresse
1932,Bovernier
3533,Bowil
5076,Bözen
2500,Biel/Bienne
6544,Braggio
7527,Brail
3176,Neuenegg
6167,Bramboden
1967,Bramois
1944,La Fouly VS
1944,La Fouly VS
1926,Fully
3957,Bratsch
9502,Braunau
8784,Braunwald
6979,Brè sopra Lugano
6932,Breganzona
7165,Breil/Brigels
1783,Pensier
8309,Nürensdorf
4000,Basel
6130,Willisau
3983,Mörel
4226,Breitenbach
3474,Rüedisbach
9214,Kradolf
3000,Bern
8492,Wila
